日期,小时,城市ID,城市名称,pid,省份,avg_onload,avg_domReady,avg_firstPaint,avg_dnsLookup,avg_firstByte,avg_responseTime,standard_deviation,pv
20140611,16,533300,怒江,530000,云南,19258,1228,0,0,152,141,56147,10
20140611,16,610500,渭南,610000,陕西,2356,3693,22,0,438,392,3699,98
20140611,16,620600,武威,620000,甘肃,4684,6429,74,25,525,465,7631,8
20140611,16,632500,海南,630000,青海,1282,7174,0,0,512,426,0,1
20140611,16,652700,博尔塔拉,650000,新疆,24470,8974,1,0,555,465,116063,113
20140611,16,659000,NULL,650000,新疆,5441,6307,120,9,256,204,17450,28
20140611,16,659900,NULL,650000,新疆,4018,7172,76,0,601,550,16736,944
20140611,16,130100,石家庄,130000,河北,9452,3641,96,0,662,576,84166,1543
20140611,16,131000,廊坊,130000,河北,4233,4417,174,1,519,443,15921,734
20140611,16,140200,大同,140000,山西,6275,4526,13,0,436,405,35030,201
20140611,16,141100,吕梁,140000,山西,2684,3791,225,0,950,895,5513,288
20140611,16,150300,乌海,150000,内蒙古,60153,2220,306,0,508,480,339645,36
20140611,16,210900,阜新,210000,辽宁,23388,3217,91,0,423,349,198603,161
20140611,16,219900,NULL,210000,辽宁,6614,3068,196,0,657,577,65611,958
20140611,16,220100,长春,220000,吉林,12533,3039,76,0,657,565,98680,813
20140611,16,230200,齐齐哈尔,230000,黑龙江,13999,3805,244,0,668,628,135774,327
20140611,16,231100,黑河,230000,黑龙江,2977,2563,159,0,467,442,7395,131
20140611,16,310100,上海,310000,上海,12131,2710,106,0,527,455,147449,6770
20140611,16,320200,无锡,320000,江苏,11992,2833,129,0,456,425,97103,1483
20140611,16,321100,镇江,320000,江苏,3743,1602,25,0,507,329,21337,328
20140611,16,330300,温州,330000,浙江,5669,2081,83,0,333,298,29101,1113
20140611,16,340400,淮南,340000,安徽,3279,2407,115,0,452,-891,13029,692
20140611,16,341300,宿州,340000,安徽,22867,1600,1,0,251,226,196590,188
20140611,16,350500,泉州,350000,福建,5186,3957,110,20,614,516,36029,1022
20140611,16,360600,鹰潭,360000,江西,5678,3623,0,0,1271,1259,7021,80
20140611,16,370700,潍坊,370000,山东,8956,2518,231,0,710,411,67241,963
20140611,16,371600,滨州,370000,山东,5041,1795,94,0,396,311,28714,404
20140611,16,410200,开封,410000,河南,1590,2635,76,0,501,434,2964,309
20140611,16,411100,漯河,410000,河南,16350,1843,191,0,378,-805,90274,93
20140611,16,420300,十堰,420000,湖北,3543,3169,52,0,626,504,7883,75
20140611,16,421200,咸宁,420000,湖北,5787,2269,23,0,394,365,24083,356
20140611,16,430400,衡阳,430000,湖南,23721,5002,15,13,783,620,105035,142
20140611,16,431300,娄底,430000,湖南,33115,2497,204,0,258,238,149860,49
20140611,16,433100,湘西,430000,湖南,2779,3692,29,0,428,-2497,6066,32
20140611,16,440500,汕头,440000,广东,4216,5614,30,0,1043,981,14054,402
20140611,16,441400,梅州,440000,广东,5730,3640,31,0,521,488,18420,107
20140611,16,450600,防城港,450000,广西,3004,5277,0,0,438,411,8189,78
20140611,16,510300,自贡,510000,四川,2391,3249,32,0,474,445,4344,90
20140611,16,520400,安顺,520000,贵州,12923,8494,247,20,1352,913,64382,51
20140611,16,522200,铜仁,520000,贵州,1924,2835,23,0,498,418,3436,98
20140611,16,530500,保山,530000,云南,7988,3495,0,0,220,186,7637,2
20140611,16,532300,楚雄,530000,云南,2183,4417,124,0,495,456,3153,54
20140611,16,610400,咸阳,610000,陕西,2384,3298,77,0,423,370,3836,135
20140611,16,620500,天水,620000,甘肃,2030,4178,146,0,329,300,2478,48
20140611,16,130900,沧州,130000,河北,4051,2843,143,0,615,555,9225,600
20140611,16,139900,NULL,130000,河北,6443,3194,134,0,478,410,55961,1978
20140611,16,140100,太原,140000,山西,4659,3470,149,0,616,514,28473,1803
20140611,16,141000,临汾,140000,山西,8794,2227,150,0,353,308,66829,376
20140611,16,150200,包头,150000,内蒙古,2999,4233,677,0,1118,720,7739,292
20140611,16,152900,阿拉善盟,150000,内蒙古,2136,1597,0,0,444,413,3255,14
20140611,16,210800,营口,210000,辽宁,6496,3144,68,0,604,457,49872,202
20140611,16,229900,NULL,220000,吉林,4762,3642,220,0,846,-6644,19815,748
20140611,16,230100,哈尔滨,230000,黑龙江,7667,2626,130,0,401,330,53112,1241
20140611,16,231000,牡丹江,230000,黑龙江,10100,6138,194,1,1174,602,55086,170
20140611,16,320100,南京,320000,江苏,7801,2552,130,0,527,462,65543,2181
20140611,16,321000,扬州,320000,江苏,4670,4080,343,0,641,557,25172,557
20140611,16,330200,宁波,330000,浙江,7150,2082,49,0,402,323,81208,1850
20140611,16,331100,丽水,330000,浙江,3356,2054,146,0,309,279,13232,313
20140611,16,340300,蚌埠,340000,安徽,2206,2027,115,0,293,268,5230,358
20140611,16,341200,阜阳,340000,安徽,9120,1842,160,0,382,262,61505,257
20140611,16,350400,三明,350000,福建,5944,1740,52,0,311,298,37644,105
20140611,16,360500,新余,360000,江西,1488,2040,180,0,282,270,1815,22
20140611,16,370600,烟台,370000,山东,6188,2372,131,0,491,424,40795,1040
20140611,16,371500,聊城,370000,山东,17484,2078,135,0,379,322,86287,609
20140611,16,410100,郑州,410000,河南,10218,2754,188,2,414,341,161515,2706
20140611,16,411000,许昌,410000,河南,13183,2184,211,0,359,332,81586,337
20140611,16,420200,黄石,420000,湖北,5628,1941,51,0,396,365,13686,121
20140611,16,421100,黄冈,420000,湖北,3451,2249,315,0,495,410,7405,147
20140611,16,430300,湘潭,430000,湖南,7351,4176,55,11,614,565,43284,83
20140611,16,431200,怀化,430000,湖南,1290,2369,146,0,494,421,2343,107
20140611,16,440400,珠海,440000,广东,19490,4355,147,0,716,604,114060,478
20140611,16,441300,惠州,440000,广东,11065,2958,148,0,502,410,131660,887
20140611,16,450500,北海,450000,广西,5475,2636,377,0,357,286,12006,253
20140611,16,451400,崇左,450000,广西,25577,1269,0,0,241,216,31053,3
20140611,16,500100,重庆,500000,重庆,5968,4302,154,1,537,472,40197,2089
20140611,16,511100,乐山,510000,四川,7950,2608,244,0,375,330,39386,143
20140611,16,512000,资阳,510000,四川,3188,3374,10,0,275,227,6046,28
20140611,16,520300,遵义,520000,贵州,6793,2719,788,0,663,460,28567,272
20140611,16,530400,玉溪,530000,云南,2609,3314,18,0,418,354,7168,103
20140611,16,533100,德宏,530000,云南,3724,3932,0,0,499,484,7879,48
20140611,16,610300,宝鸡,610000,陕西,2883,2966,158,0,431,402,22774,400
20140611,16,620400,白银,620000,甘肃,6212,3250,0,0,201,194,5886,2
20140611,16,654300,阿勒泰,650000,新疆,416,2488,0,0,189,169,594,12
20140611,16,130800,承德,130000,河北,3730,3869,151,0,375,320,13186,91
20140611,16,140900,忻州,140000,山西,2582,6243,121,0,497,465,4802,214
20140611,16,149900,NULL,140000,山西,1794,1650,156,0,308,262,4634,467
20140611,16,150100,呼和浩特,150000,内蒙古,3870,3339,190,0,863,813,11437,398
20140611,16,210700,锦州,210000,辽宁,4820,3000,63,0,542,493,13139,243
20140611,16,220800,白城,220000,吉林,6780,1592,43,0,341,299,15201,109
20140611,16,230900,七台河,230000,黑龙江,5054,1860,504,0,416,341,14533,52
20140611,16,232700,大兴安岭,230000,黑龙江,3490,2705,862,0,566,438,8727,51
20140611,16,239900,NULL,230000,黑龙江,5618,2887,34,0,540,484,41310,1088
20140611,16,320900,盐城,320000,江苏,3099,3767,92,0,510,351,13362,648
20140611,16,329900,NULL,320000,江苏,5128,2180,91,0,367,309,55233,1957
20140611,16,330100,杭州,330000,浙江,13587,5221,166,-39,691,563,164639,4233
20140611,16,331000,台州,330000,浙江,6730,2922,65,0,425,350,61516,1111
20140611,16,340200,芜湖,340000,安徽,2660,2877,189,0,545,483,6108,309
20140611,16,341100,滁州,340000,安徽,35806,2874,42,0,588,513,279477,236
20140611,16,350300,莆田,350000,福建,2133,1494,168,0,238,217,3865,111
20140611,16,360400,九江,360000,江西,5380,2665,0,0,512,468,29356,137
20140611,16,370500,东营,370000,山东,18558,2685,135,0,417,-87,188940,459
20140611,16,371400,德州,370000,山东,5328,2137,262,0,432,325,26579,245
20140611,16,410900,濮阳,410000,河南,5179,3432,358,0,628,612,24033,314
20140611,16,419900,NULL,410000,河南,5877,3346,110,0,585,527,47044,1968
20140611,16,420100,武汉,420000,湖北,12650,3366,107,0,627,429,146798,2517
20140611,16,421000,荆州,420000,湖北,4309,3294,545,0,576,526,11474,288
20140611,16,422800,恩施,420000,湖北,1667,2163,5,0,283,269,2010,28
20140611,16,430200,株洲,430000,湖南,3662,7300,15,0,1179,1106,7563,211
20140611,16,431100,永州,430000,湖南,7330,1668,182,0,238,208,35147,88
20140611,16,440300,深圳,440000,广东,7993,3365,75,0,615,525,66692,4222
20140611,16,441200,肇庆,440000,广东,5679,2782,147,0,425,382,26148,348
20140611,16,450400,梧州,450000,广西,5728,2819,100,0,746,610,26035,309
20140611,16,451300,来宾,450000,广西,13772,2003,107,0,742,696,59153,83
20140611,16,510100,成都,510000,四川,11196,3894,77,0,508,418,99068,2036
20140611,16,511000,内江,510000,四川,2699,2813,185,0,337,300,3850,95
20140611,16,511900,巴中,510000,四川,2040,3141,35,0,667,418,2842,63
20140611,16,520200,六盘水,520000,贵州,3087,8233,79,0,592,544,4364,57
20140611,16,530300,曲靖,530000,云南,7696,2236,14,0,351,262,17134,100
20140611,16,610200,铜川,610000,陕西,762,3859,0,0,314,303,554,4
20140611,16,620300,金昌,620000,甘肃,1985,9084,180,0,660,638,2030,20
